No Pain/00-100_CTC03 HR1 15-18 _0.jpg, 0:0, no pain, 0.68628 
No Pain/00-321_R3S F2 BL 06-09_0.jpg, 0:0, no pain, 0.72222 
No Pain/00-322_A13 BL 03-06_0.jpg, 0:0, no pain, 0.71740 
No Pain/00-322_R3S F2 ZYM.25 18-21 _0.jpg, 0:0, no pain, 0.67226 
No Pain/00-323_AJ F3 ZYM.25 09-12 _0.jpg, 0:0, no pain, 0.56441 
No Pain/00-325_AJ F4 BL 12-15_0.jpg, 0:0, no pain, 0.57534 
No Pain/00-328_A16 PI 27-30_0.jpg, 0:0, no pain, 0.94359 
No Pain/00-32_AD02 BL 21-24_0.jpg, 0:0, pain, 0.74481 
No Pain/00-32_CBA M2 BL 09-12_0.jpg, 0:0, no pain, 0.86509 
No Pain/00-32_CTC05 BL 06-09 _0.jpg, 0:0, no pain, 0.70520 
No Pain/00-32_DL116 BL 06-09 _0.jpg, 0:0, no pain, 0.70481 
No Pain/00-32_J04 CFA 06-09 _0.jpg, 0:0, no pain, 0.83761 
No Pain/00-330_A16 BL 12-15_0.jpg, 0:0, no pain, 0.95578 
No Pain/00-330_CFS 18 BL 012-015_0.jpg, 0:0, no pain, 0.95950 
No Pain/00-330_R3S M3 BL 15-18_0.jpg, 0:0, no pain, 0.68910 
No Pain/00-331_R3S F3 BL 06-09_0.jpg, 0:0, no pain, 0.50100 
No Pain/00-335_A16 BL 27-30_0.jpg, 0:0, no pain, 0.76224 
No Pain/00-336_A08 BL 06-09_0.jpg, 0:0, no pain, 0.60901 
No Pain/00-337_A06 BL 03-06_0.jpg, 0:0, no pain, 0.65670 
No Pain/00-337_CFP 13 BL 003-006_0.jpg, 0:0, no pain, 0.76395 
No Pain/00-339_R3S F4 BL 06-09_0.jpg, 0:0, no pain, 0.71532 
No Pain/00-33_DL124 BL 06-09 _0.jpg, 0:0, no pain, 0.75860 
No Pain/00-33_J04 BL 27-30 _0.jpg, 0:0, no pain, 0.81137 
No Pain/00-340_CFM 11 hr1 006-009_0.jpg, 0:0, pain, 0.65775 
No Pain/00-344_CMS 21 BL 003-006_0.jpg, 0:0, no pain, 0.50419 
No Pain/00-344_R3S F1 BL 00-03 _0.jpg, 0:0, pain, 0.50757 
No Pain/00-346_R3S M4 BL 27-30 _0.jpg, 0:0, no pain, 0.78159 
No Pain/00-347_A13 PI 06-09(w)_0.jpg, 0:0, no pain, 0.88252 
No Pain/00-347_AJ F1 BL 06-09_0.jpg, 0:0, no pain, 0.74004 
No Pain/00-348_A10 PI 12-15(w)_0.jpg, 0:0, no pain, 0.78146 
No Pain/00-349_A16 PI 15-18_0.jpg, 0:0, no pain, 0.56918 
No Pain/00-34_DL111 Hr1 03-06 _0.jpg, 0:0, no pain, 0.53055 
No Pain/00-34_J04 CFA 18-21 _0.jpg, 0:0, no pain, 0.90002 
No Pain/00-351_R3S M3 BL 12-15_0.jpg, 0:0, no pain, 0.82154 
No Pain/00-352_S01 BL 09-12_0.jpg, 0:0, no pain, 0.91705 
No Pain/00-354_A10 PI 12-15_0.jpg, 0:0, no pain, 0.74873 
No Pain/00-354_CMS 3 BL 009-012 _0.jpg, 0:0, no pain, 0.66160 
No Pain/00-356_S06 PI 00-03_0.jpg, 0:0, no pain, 0.83756 
No Pain/00-357_CBA F3 BL 21-24_0.jpg, 0:0, pain, 0.93275 
No Pain/00-357_S06 BL 24-27_0.jpg, 0:0, no pain, 0.73864 
No Pain/00-35_CFP 12 BL 009-012_0.jpg, 0:0, pain, 0.50670 
No Pain/00-35_DL114 BL 06-09 _0.jpg, 0:0, pain, 0.64279 
No Pain/00-360_AJ M1 ZYM.25 21-24 _0.jpg, 0:0, pain, 0.68488 
No Pain/00-360_CFM 17 BL 021-024_0.jpg, 0:0, no pain, 0.50903 
No Pain/00-361_A16 PI 00-03_0.jpg, 0:0, no pain, 0.86509 
No Pain/00-361_AJ F3 BL 24-27_0.jpg, 0:0, no pain, 0.56248 
No Pain/00-364_A06 BL 24-27_0.jpg, 0:0, no pain, 0.60604 
No Pain/00-365_R3S M2 BL 12-15_0.jpg, 0:0, no pain, 0.56282 
No Pain/00-368_R3S M3 BL 24-27_0.jpg, 0:0, no pain, 0.54840 
No Pain/00-369_A14 PI 03-06_0.jpg, 0:0, no pain, 0.71013 
No Pain/00-36_DL112 BL 03-06 _0.jpg, 0:0, pain, 0.59796 
No Pain/00-36_J06 BL 09-12 _0.jpg, 0:0, no pain, 0.77868 
No Pain/00-370_CMS 20 hr1 012-015_0.jpg, 0:0, no pain, 0.91847 
No Pain/00-371_AJ F4 ZYM.25 27-30 _0.jpg, 0:0, pain, 0.65374 
No Pain/00-373_S05 BL 18-21_0.jpg, 0:0, no pain, 0.92067 
No Pain/00-374_AJ F2 BL 15-18_0.jpg, 0:0, no pain, 0.53138 
No Pain/00-374_CFM 10 BL 027-030_0.jpg, 0:0, no pain, 0.86613 
No Pain/00-376_AJ M2 BL 12-15_0.jpg, 0:0, no pain, 0.63058 
No Pain/00-378_A14 BL 18-21_0.jpg, 0:0, no pain, 0.71775 
No Pain/00-378_AJ F1 BL 27-30_0.jpg, 0:0, pain, 0.60448 
No Pain/00-378_CFM 16 hr1 018-021_0.jpg, 0:0, pain, 0.51550 
No Pain/00-37_DL116 BL 15-18 _0.jpg, 0:0, pain, 0.76445 
No Pain/00-380_CFP 12 BL 003-006_0.jpg, 0:0, no pain, 0.52769 
No Pain/00-380_R3S F3 BL 18-21_0.jpg, 0:0, no pain, 0.56603 
No Pain/00-382_A01 BL 27-30_0.jpg, 0:0, no pain, 0.87825 
No Pain/00-383_S05 BL 09-12_0.jpg, 0:0, no pain, 0.85735 
No Pain/00-385_CFM 17 hr1 018-021_0.jpg, 0:0, no pain, 0.83791 
No Pain/00-386_A02 PI 15-18_0.jpg, 0:0, no pain, 0.87119 
No Pain/00-386_AJ F1 ZYM.25 15-18 _0.jpg, 0:0, pain, 0.63820 
No Pain/00-387_AJ F1 BL 00-03_0.jpg, 0:0, no pain, 0.59054 
No Pain/00-388_A01 PI 00-03_0.jpg, 0:0, no pain, 0.71936 
No Pain/00-388_R3S F1 BL 09-12_0.jpg, 0:0, pain, 0.51366 
No Pain/00-389_CBA F3 BL 09-12_0.jpg, 0:0, pain, 0.53154 
No Pain/00-38_CFP 13 BL 021-024_0.jpg, 0:0, pain, 0.55012 
No Pain/00-38_CTC03 HR4 09-12 _0.jpg, 0:0, no pain, 0.77450 
No Pain/00-38_J03 CFA 03-06 _0.jpg, 0:0, no pain, 0.65007 
No Pain/00-391_A13 BL 15-18_0.jpg, 0:0, no pain, 0.90596 
No Pain/00-392_AJ F3 BL 09-12_0.jpg, 0:0, pain, 0.65502 
No Pain/00-393_CFS 18 BL 006-009_0.jpg, 0:0, pain, 0.61841 
No Pain/00-394_A07 PI 21-24(w)_0.jpg, 0:0, no pain, 0.55528 
No Pain/00-395_S01 PI 21-24_0.jpg, 0:0, no pain, 0.66028 
No Pain/00-396_AJ M4 BL 15-18_0.jpg, 0:0, no pain, 0.78811 
No Pain/00-397_CFM 11 BL 006-009_0.jpg, 0:0, no pain, 0.54950 
No Pain/00-398_CFP 12 BL 018-021_0.jpg, 0:0, no pain, 0.89063 
No Pain/00-399_A06 BL 09-12_0.jpg, 0:0, no pain, 0.78399 
No Pain/00-399_CFM 11 hr1 000-003_0.jpg, 0:0, no pain, 0.58796 
No Pain/00-39_DL125 Hr1 00-03 _0.jpg, 0:0, no pain, 0.56566 
No Pain/00-39_J02 BL 09-12 _0.jpg, 0:0, no pain, 0.56977 
No Pain/00-3_CTC01 HR24 00-03 _0.jpg, 0:0, no pain, 0.69794 
No Pain/00-3_DL115 BL 06-09 _0.jpg, 0:0, no pain, 0.73272 
No Pain/00-403_AJ F2 BL 18-21_0.jpg, 0:0, no pain, 0.64396 
No Pain/00-408_CMS 21 BL 006-009_0.jpg, 0:0, pain, 0.56568 
No Pain/00-40_CFP 12 hr1 018-021_0.jpg, 0:0, no pain, 0.58864 
No Pain/00-411_A14 BL 21-24_0.jpg, 0:0, no pain, 0.71211 
No Pain/00-413_AJ F3 BL 18-21_0.jpg, 0:0, pain, 0.56306 
No Pain/00-413_CFM 17 hr1 000-003_0.jpg, 0:0, no pain, 0.84737 
No Pain/00-414_R3S M4 BL 09-12_0.jpg, 0:0, no pain, 0.79303 
No Pain/00-415_AJ F3 ZYM.25 06-09 _0.jpg, 0:0, pain, 0.58573 
No Pain/00-416_A01 BL 00-03_0.jpg, 0:0, no pain, 0.78289 
No Pain/00-419_CBA F3 BL 00-03 _0.jpg, 0:0, no pain, 0.59447 
No Pain/00-41_DL116 BL 21-24 _0.jpg, 0:0, no pain, 0.85410 
No Pain/00-41_J01 CFA 27-30 _0.jpg, 0:0, no pain, 0.68486 
No Pain/00-420_A01 BL 12-15_0.jpg, 0:0, no pain, 0.94482 
No Pain/00-420_CFM 10 hr1 009-012_0.jpg, 0:0, no pain, 0.66170 
No Pain/00-422_R3S F2 BL 03-06 _0.jpg, 0:0, no pain, 0.64353 
No Pain/00-423_S06 PI 06-09_0.jpg, 0:0, no pain, 0.88061 
No Pain/00-427_CFM 17 hr1 027-030_0.jpg, 0:0, pain, 0.53688 
No Pain/00-432_A02 PI 15-18(w)_0.jpg, 0:0, no pain, 0.66548 
No Pain/00-433_AJ M3 BL 12-15_0.jpg, 0:0, pain, 0.54125 
No Pain/00-434_A16 PI 03-06_0.jpg, 0:0, no pain, 0.90821 
No Pain/00-435_AJ F1 BL 03-06 _0.jpg, 0:0, no pain, 0.66030 
No Pain/00-436_AJ M2 BL 18-21_0.jpg, 0:0, no pain, 0.51172 
No Pain/00-437_R3S M3 BL 00-03 _0.jpg, 0:0, pain, 0.75995 
No Pain/00-439_CFM 11 BL 024-027_0.jpg, 0:0, no pain, 0.77628 
No Pain/00-43_AD07 BL 18-21_0.jpg, 0:0, pain, 0.60340 
No Pain/00-43_J02 CFA 24-27 _0.jpg, 0:0, no pain, 0.57263 
No Pain/00-441_A11 PI 00-03_0.jpg, 0:0, no pain, 0.83026 
No Pain/00-441_R3S F3 BL 27-30_0.jpg, 0:0, no pain, 0.50064 
No Pain/00-445_R3S F2 BL 12-15_0.jpg, 0:0, no pain, 0.52669 
No Pain/00-446_A05 BL 12-15_0.jpg, 0:0, no pain, 0.67864 
No Pain/00-446_AJ M4 BL 12-15_0.jpg, 0:0, no pain, 0.54322 
No Pain/00-447_A05 BL 24-27_0.jpg, 0:0, no pain, 0.78288 
No Pain/00-447_CMS 3 hr4 027-030_0.jpg, 0:0, no pain, 0.89555 
No Pain/00-448_AJ F3 BL 27-30_0.jpg, 0:0, pain, 0.51125 
No Pain/00-449_R3S M3 BL 09-12_0.jpg, 0:0, no pain, 0.58237 
No Pain/00-44_CTC06 HR6 12-15 _0.jpg, 0:0, no pain, 0.91165 
No Pain/00-450_CFM 10 BL 021-024_0.jpg, 0:0, no pain, 0.56568 
No Pain/00-451_R3S M3 BL 06-09_0.jpg, 0:0, pain, 0.52719 
No Pain/00-452_R3S M2 BL 18-21_0.jpg, 0:0, no pain, 0.74106 
No Pain/00-458_AJ M4 BL 06-09_0.jpg, 0:0, no pain, 0.71435 
No Pain/00-458_CFM 17 BL 009-012_0.jpg, 0:0, no pain, 0.59817 
No Pain/00-463_R3S F3 BL 12-15_0.jpg, 0:0, pain, 0.69065 
No Pain/00-464_S01 PI 00-03_0.jpg, 0:0, no pain, 0.83818 
No Pain/00-465_AJ M3 BL 03-06_0.jpg, 0:0, pain, 0.61467 
No Pain/00-466_CMP 14 BL 018-021_0.jpg, 0:0, pain, 0.55331 
No Pain/00-467_CMP 15 BL 000-003_0.jpg, 0:0, pain, 0.53767 
No Pain/00-46_AJ M4 BL 18-21_0.jpg, 0:0, pain, 0.68605 
No Pain/00-46_CTC06 HR24 12-15 _0.jpg, 0:0, no pain, 0.59873 
No Pain/00-46_J01 CFA 06-09 _0.jpg, 0:0, no pain, 0.92728 
No Pain/00-470_S01 PI 12-15_0.jpg, 0:0, no pain, 0.83922 
No Pain/00-473_A18 BL 00-03_0.jpg, 0:0, no pain, 0.94664 
No Pain/00-474_A17 BL 06-09_0.jpg, 0:0, no pain, 0.79643 
No Pain/00-474_CFP 7 BL 003-006_0.jpg, 0:0, no pain, 0.51838 
No Pain/00-475_A18 PI 12-15(w)_0.jpg, 0:0, no pain, 0.69061 
No Pain/00-476_A13 PI 18-21(w)_0.jpg, 0:0, no pain, 0.51552 
No Pain/00-47_DL122 BL 15-18 _0.jpg, 0:0, no pain, 0.60142 
No Pain/00-47_J04 BL 12-15 _0.jpg, 0:0, pain, 0.50045 
No Pain/00-480_A17 BL 24-27_0.jpg, 0:0, no pain, 0.75918 
No Pain/00-481_A12 PI 21-24_0.jpg, 0:0, no pain, 0.86146 
No Pain/00-483_A02 PI 09-12(w)_0.jpg, 0:0, no pain, 0.60070 
No Pain/00-48_AD11 BL 21-24_0.jpg, 0:0, pain, 0.52789 
No Pain/00-48_J01 AMG 12-15 _0.jpg, 0:0, pain, 0.63611 
No Pain/00-491_A12 BL 18-21_0.jpg, 0:0, no pain, 0.55522 
No Pain/00-492_A07 BL 12-15_0.jpg, 0:0, no pain, 0.72448 
No Pain/00-493_A15 PI 00-03_0.jpg, 0:0, no pain, 0.71020 
No Pain/00-496_S06 PI 15-18(w)_0.jpg, 0:0, no pain, 0.80538 
No Pain/00-497_A05 PI 18-21(w)_0.jpg, 0:0, no pain, 0.64195 
No Pain/00-498_CMS 20 BL 006-009_0.jpg, 0:0, no pain, 0.68453 
No Pain/00-49_CTC06 HR24 27-30 _0.jpg, 0:0, pain, 0.58085 
No Pain/00-49_DL120 BL 00-03 _0.jpg, 0:0, no pain, 0.78232 
No Pain/00-49_R3S M4 BL 12-15_0.jpg, 0:0, pain, 0.58895 
No Pain/00-4_R3S M3 BL 27-30_0.jpg, 0:0, no pain, 0.59302 
No Pain/00-500_A02 PI 00-03_0.jpg, 0:0, no pain, 0.51726 
No Pain/00-502_S01 PI 24-27_0.jpg, 0:0, no pain, 0.97150 
No Pain/00-508_A12 PI 06-09(w)_0.jpg, 0:0, no pain, 0.75592 
No Pain/00-509_S06 BL 00-03_0.jpg, 0:0, no pain, 0.93126 
No Pain/00-50_J05 CFA 12-15 _0.jpg, 0:0, pain, 0.65657 
No Pain/00-510_A01 BL 15-18_0.jpg, 0:0, no pain, 0.84567 
No Pain/00-513_S06 BL 21-24_0.jpg, 0:0, no pain, 0.95827 
No Pain/00-515_A07 PI 09-12_0.jpg, 0:0, no pain, 0.61833 
No Pain/00-51_CTC02 HR6 21-24 _0.jpg, 0:0, no pain, 0.91098 
No Pain/00-520_S06 BL 09-12_0.jpg, 0:0, no pain, 0.99796 
No Pain/00-524_A18 BL 09-12_0.jpg, 0:0, no pain, 0.94182 
No Pain/00-52_AD05 BL 6-9_0.jpg, 0:0, pain, 0.55783 
No Pain/00-52_J05 CFA 00-03 _0.jpg, 0:0, no pain, 0.80896 
No Pain/00-532_A02 BL 00-03_0.jpg, 0:0, no pain, 0.52196 
No Pain/00-534_S01 BL 00-03_0.jpg, 0:0, no pain, 0.69268 
No Pain/00-536_A01 PI 03-06_0.jpg, 0:0, no pain, 0.51997 
No Pain/00-53_CMP 14 hr1 000-003_0.jpg, 0:0, no pain, 0.58982 
No Pain/00-53_CTC01 HR24 24-27 _0.jpg, 0:0, no pain, 0.66122 
No Pain/00-53_J01 BL 18-21 _0.jpg, 0:0, no pain, 0.67159 
No Pain/00-541_S01 PI 27-30_0.jpg, 0:0, no pain, 0.66696 
No Pain/00-544_A18 BL 15-18_0.jpg, 0:0, no pain, 0.66231 
No Pain/00-545_S06 PI 06-09(w)_0.jpg, 0:0, no pain, 0.55342 
No Pain/00-546_S06 BL 15-18_0.jpg, 0:0, no pain, 0.69763 
No Pain/00-553_A16 PI 12-15_0.jpg, 0:0, no pain, 0.92852 
No Pain/00-554_S06 PI 12-15(w)_0.jpg, 0:0, no pain, 0.95140 
No Pain/00-555_A18 BL 21-24_0.jpg, 0:0, no pain, 0.97125 
No Pain/00-559_S06 PI 15-18_0.jpg, 0:0, no pain, 0.85946 
No Pain/00-55_CTC06 HR6 21-24 _0.jpg, 0:0, no pain, 0.62608 
No Pain/00-55_DL120 BL 03-06 _0.jpg, 0:0, pain, 0.50799 
No Pain/00-562_A02 PI 12-15(w)_0.jpg, 0:0, no pain, 0.76212 
No Pain/00-563_S06 BL 06-09_0.jpg, 0:0, no pain, 0.85208 
No Pain/00-564_S06 PI 24-27_0.jpg, 0:0, no pain, 0.98472 
No Pain/00-565_S01 BL 21-24_0.jpg, 0:0, no pain, 0.85561 
No Pain/00-56_CTC05 HR24 27-30 _0.jpg, 0:0, no pain, 0.60223 
No Pain/00-56_DL121 BL 03-06 _0.jpg, 0:0, no pain, 0.57122 
No Pain/00-57_CTC03 BL 12-15 _0.jpg, 0:0, no pain, 0.65556 
No Pain/00-58_DL120 BL 18-21 _0.jpg, 0:0, no pain, 0.76925 
No Pain/00-5_DL118 BL 06-09 _0.jpg, 0:0, no pain, 0.54994 
No Pain/00-5_J06 AMG 15-18 _0.jpg, 0:0, no pain, 0.79316 
No Pain/00-61_CBA F3 BL 03-06_0.jpg, 0:0, pain, 0.69294 
No Pain/00-61_DL124 BL 27-30 _0.jpg, 0:0, no pain, 0.64230 
No Pain/00-62_DL111 BL 27-30 _0.jpg, 0:0, no pain, 0.76061 
No Pain/00-63_AD10 BL 6-9_0.jpg, 0:0, no pain, 0.51611 
No Pain/00-63_CFM 17 BL 018-021_0.jpg, 0:0, no pain, 0.53185 
No Pain/00-64_J01 AMG 00-03 _0.jpg, 0:0, no pain, 0.81250 
No Pain/00-65_AJ M1 BL 06-09_0.jpg, 0:0, no pain, 0.52354 
No Pain/00-65_CFM 16 hr1 003-006_0.jpg, 0:0, no pain, 0.74781 
No Pain/00-65_J01 CFA 18-21 _0.jpg, 0:0, pain, 0.53872 
No Pain/00-67_CFM 16 hr1 021-024_0.jpg, 0:0, no pain, 0.50906 
No Pain/00-69_CFM 17 hr1 006-009_0.jpg, 0:0, no pain, 0.82501 
No Pain/00-69_CTC06 HR24 15-18 _0.jpg, 0:0, no pain, 0.64960 
No Pain/00-69_DL125 BL 21-24 _0.jpg, 0:0, no pain, 0.65540 
No Pain/00-69_J01 BL 09-12 _0.jpg, 0:0, no pain, 0.60311 
No Pain/00-6_DL123 BL 06-09 _0.jpg, 0:0, pain, 0.65079 
No Pain/00-71_J05 BL 09-12 _0.jpg, 0:0, no pain, 0.77168 
No Pain/00-71_R3S M2 BL 06-09_0.jpg, 0:0, pain, 0.71935 
No Pain/00-72_CTC06 HR6 00-03 _0.jpg, 0:0, pain, 0.56680 
No Pain/00-72_J06 CFA 09-12 _0.jpg, 0:0, no pain, 0.66603 
No Pain/00-74_J06 BL 21-24 _0.jpg, 0:0, no pain, 0.67379 
No Pain/00-75_AJ F4 BL 03-06_0.jpg, 0:0, pain, 0.69326 
No Pain/00-75_CFM 17 hr4 003-006_0.jpg, 0:0, pain, 0.52136 
No Pain/00-75_DL126 Hr1 00-03 _0.jpg, 0:0, no pain, 0.83843 
No Pain/00-76_AD06 T 18-21_0.jpg, 0:0, pain, 0.51078 
No Pain/00-76_DL117 Hr1 12-15 _0.jpg, 0:0, no pain, 0.61637 
No Pain/00-77_AD04 BL 21-24_0.jpg, 0:0, no pain, 0.71624 
No Pain/00-77_DL125 Hr1 12-15 _0.jpg, 0:0, no pain, 0.75657 
No Pain/00-77_J03 BL 03-06 _0.jpg, 0:0, no pain, 0.83911 
No Pain/00-78_AD04 BL 27-30_0.jpg, 0:0, no pain, 0.72617 
No Pain/00-78_CFM 17 hr4 021-024_0.jpg, 0:0, no pain, 0.64168 
No Pain/00-78_DL114 Hr1 24-27 _0.jpg, 0:0, no pain, 0.73312 
No Pain/00-79_AD10 BL 0-3_0.jpg, 0:0, pain, 0.67172 
No Pain/00-79_CFS 18 BL 000-003 _0.jpg, 0:0, no pain, 0.60080 
No Pain/00-79_DL112 BL 15-18 _0.jpg, 0:0, pain, 0.66171 
No Pain/00-79_J01 BL 27-30 _0.jpg, 0:0, no pain, 0.68211 
No Pain/00-7_CBA F3 BL 24-27_0.jpg, 0:0, no pain, 0.58921 
No Pain/00-7_J01 BL 03-06 _0.jpg, 0:0, pain, 0.56680 
No Pain/00-80_J01 CFA 21-24 _0.jpg, 0:0, no pain, 0.59290 
No Pain/00-81_DL115 Hr1 09-12 _0.jpg, 0:0, no pain, 0.68385 
No Pain/00-82_CFS 19 BL 012-015_0.jpg, 0:0, no pain, 0.76543 
No Pain/00-82_J01 BL 21-24 _0.jpg, 0:0, no pain, 0.67284 
No Pain/00-83_AD09 BL 21-24_0.jpg, 0:0, pain, 0.58317 
No Pain/00-84_DL123 BL 03-06 _0.jpg, 0:0, no pain, 0.54768 
No Pain/00-84_J03 BL 27-30 _0.jpg, 0:0, no pain, 0.56951 
No Pain/00-85_AJ F3 BL 06-09_0.jpg, 0:0, pain, 0.57172 
No Pain/00-85_CTC05 HR6 00-03 _0.jpg, 0:0, no pain, 0.72908 
No Pain/00-85_J01 CFA 15-18 _0.jpg, 0:0, no pain, 0.60487 
No Pain/00-86_AD01 BL 0-3_0.jpg, 0:0, pain, 0.55019 
No Pain/00-87_AJ F4 BL 15-18_0.jpg, 0:0, pain, 0.66580 
No Pain/00-87_DL117 BL 12-15 _0.jpg, 0:0, pain, 0.74298 
No Pain/00-88_AJ F3 BL 03-06_0.jpg, 0:0, pain, 0.54647 
No Pain/00-88_DL119 BL 12-15 _0.jpg, 0:0, pain, 0.50100 
No Pain/00-88_J02 AMG 15-18 _0.jpg, 0:0, pain, 0.67565 
No Pain/00-89_AD08 BL 9-12_0.jpg, 0:0, pain, 0.70530 
No Pain/00-89_DL111 Hr1 27-30 _0.jpg, 0:0, pain, 0.57784 
No Pain/00-8_AD10 T  3-6_0.jpg, 0:0, no pain, 0.57430 
No Pain/00-8_CTC06 HR24 18-21 _0.jpg, 0:0, no pain, 0.65793 
No Pain/00-8_DL112 BL 27-30 _0.jpg, 0:0, no pain, 0.61505 
No Pain/00-90_AD08 BL 3-6_0.jpg, 0:0, pain, 0.61121 
No Pain/00-90_J01 AMG 03-06 _0.jpg, 0:0, no pain, 0.71388 
No Pain/00-91_DL121 BL 15-18 _0.jpg, 0:0, pain, 0.68373 
No Pain/00-92_AJ F3 BL 00-03 _0.jpg, 0:0, no pain, 0.77520 
No Pain/00-92_J01 CFA 00-03 _0.jpg, 0:0, pain, 0.58068 
No Pain/00-93_CTC05 HR6 06-09 _0.jpg, 0:0, no pain, 0.86470 
No Pain/00-94_AD05 T 0-3_0.jpg, 0:0, pain, 0.54980 
No Pain/00-94_AJ M2 BL 00-03_0.jpg, 0:0, no pain, 0.54084 
No Pain/00-95_DL116 BL 12-15 _0.jpg, 0:0, no pain, 0.55810 
No Pain/00-95_J04 CFA 03-06 _0.jpg, 0:0, no pain, 0.78230 
No Pain/00-96_CTC05 HR24 15-18 _0.jpg, 0:0, no pain, 0.70314 
No Pain/00-97_DL117 BL 27-30 _0.jpg, 0:0, no pain, 0.75572 
No Pain/00-98_CTC03 HR24 18-21 _0.jpg, 0:0, no pain, 0.86795 
No Pain/00-98_DL119 BL 27-30 _0.jpg, 0:0, pain, 0.53549 
No Pain/00-99_AD05 BL 18-21_0.jpg, 0:0, no pain, 0.53948 
No Pain/00-99_CTC03 BL 18-21 _0.jpg, 0:0, no pain, 0.85683 
No Pain/00-9_DL113 BL 24-27 _0.jpg, 0:0, no pain, 0.68152 
No Pain/01-101_J01 CFA 24-27 _1.jpg, 0:0, pain, 0.74589 
No Pain/01-102_A08 BL 24-27_1.jpg, 0:0, no pain, 0.64508 
No Pain/01-102_AJ M3 BL 06-09_1.jpg, 0:0, pain, 0.54882 
No Pain/01-103_J02 AMG 03-06 _1.jpg, 0:0, no pain, 0.79534 
No Pain/01-104_A06 PI 09-12w_1.jpg, 0:0, pain, 0.61831 
No Pain/01-104_CBA F3 BL 18-21_1.jpg, 0:0, pain, 0.60870 
No Pain/01-104_CMS 20 BL 021-024_1.jpg, 0:0, no pain, 0.66102 
No Pain/01-104_CTC02 HR6 18-21 _1.jpg, 0:0, no pain, 0.62081 
No Pain/01-106_A08 PI 03-06w_1.jpg, 0:0, no pain, 0.60792 
No Pain/01-106_AD04 BL 3-6_1.jpg, 0:0, no pain, 0.69514 
No Pain/01-106_J04 BL 03-06 _1.jpg, 0:0, no pain, 0.66733 
No Pain/01-107_A13 PI 15-18_1.jpg, 0:0, no pain, 0.78504 
No Pain/01-107_DL121 BL 12-15 _1.jpg, 0:0, no pain, 0.64704 
No Pain/01-108_DL119 Hr1 21-24 _1.jpg, 0:0, pain, 0.79319 
No Pain/01-108_J04 CFA 12-15 _1.jpg, 0:0, pain, 0.58048 
No Pain/01-109_DL117 Hr1 21-24 _1.jpg, 0:0, no pain, 0.63162 
No Pain/01-10_CTC08 HR24 09-12 _1.jpg, 0:0, no pain, 0.80760 
No Pain/01-110_J03 BL 15-18 _1.jpg, 0:0, pain, 0.53309 
No Pain/01-112_A04 BL 00-03_1.jpg, 0:0, no pain, 0.80913 
No Pain/01-113_A07 BL 15-18_1.jpg, 0:0, pain, 0.54051 
No Pain/01-113_CBA F1 BL 09-12_1.jpg, 0:0, no pain, 0.64759 
No Pain/01-113_DL119 Hr1 06-09 _1.jpg, 0:0, pain, 0.70758 
No Pain/01-113_J06 BL 12-15 _1.jpg, 0:0, pain, 0.65724 
No Pain/01-114_CTC06 HR24 09-12 _1.jpg, 0:0, no pain, 0.90634 
No Pain/01-115_CTC04 HR24 03-06 _1.jpg, 0:0, no pain, 0.79658 
No Pain/01-116_A10 PI 18-21(w)_1.jpg, 0:0, no pain, 0.85629 
No Pain/01-116_DL120 BL 24-27 _1.jpg, 0:0, pain, 0.59962 
No Pain/01-116_J06 CFA 27-30 _1.jpg, 0:0, no pain, 0.69999 
No Pain/01-117_J01 BL 00-03 _1.jpg, 0:0, pain, 0.72898 
No Pain/01-118_CTC02 BL 24-27 _1.jpg, 0:0, no pain, 0.61845 
No Pain/01-119_CTC01 HR6 00-03 _1.jpg, 0:0, no pain, 0.75455 
No Pain/01-11_AD04 T 15-18_1.jpg, 0:0, no pain, 0.66160 
No Pain/01-11_DL113 Hr1 00-03 _1.jpg, 0:0, no pain, 0.50158 
No Pain/01-121_DL121 Hr1 18-21 _1.jpg, 0:0, no pain, 0.78052 
No Pain/01-122_AJ M4 BL 03-06_1.jpg, 0:0, no pain, 0.72568 
No Pain/01-122_CMS 21 hr1 024-027_1.jpg, 0:0, no pain, 0.81476 
No Pain/01-123_DL117 Hr1 18-21 _1.jpg, 0:0, pain, 0.59941 
No Pain/01-124_CBA F1 BL 12-15_1.jpg, 0:0, no pain, 0.56002 
No Pain/01-126_AD09 BL 12-15_1.jpg, 0:0, no pain, 0.73554 
No Pain/01-126_J02 BL 15-18 _1.jpg, 0:0, pain, 0.57756 
No Pain/01-127_AD07 BL 15-18_1.jpg, 0:0, pain, 0.70201 
No Pain/01-127_DL118 Hr1 00-03 _1.jpg, 0:0, no pain, 0.63242 
No Pain/01-128_DL123 BL 18-21 _1.jpg, 0:0, no pain, 0.83292 
No Pain/01-12_DL122 BL 18-21 _1.jpg, 0:0, no pain, 0.71587 
No Pain/01-130_A07 PI 15-18_1.jpg, 0:0, no pain, 0.81082 
No Pain/01-130_CTC01 HR24 15-18 _1.jpg, 0:0, no pain, 0.76830 
No Pain/01-131_A07 PI 00-03_1.jpg, 0:0, no pain, 0.94985 
No Pain/01-131_CTC05 HR6 15-18 _1.jpg, 0:0, no pain, 0.76319 
No Pain/01-133_A10 BL 27-30_1.jpg, 0:0, no pain, 0.86913 
